Location,Price,Number of bedrooms,Living area,Surface area land,Property subtype_FARMHOUSE,Property subtype_HOUSE,Property subtype_MANSION,Property subtype_MIXED_USE_BUILDING,Property subtype_VILLA,Kitchen equipped,Open fireplace,Terrace,Garden,Pool,Condition
Huldenberg,355000.0,3.0,145.0,2875.0,0,1,0,0,0,1,0,1,0,0,1
Gent,264000.0,3.0,123.0,57.0,0,1,0,0,0,1,0,1,0,0,1
MOLENBEEK-SAINT-JEAN,367000.0,3.0,180.0,174.0,0,1,0,0,0,1,0,1,1,0,0
Villers-le-Bouillet,350000.0,4.0,160.0,1782.0,0,1,0,0,0,1,0,1,1,0,0
De Haan,529000.0,4.0,202.0,725.0,0,0,0,0,1,1,0,1,1,0,0
Roeselare,310000.0,4.0,135.0,211.0,0,1,0,0,0,1,0,1,1,0,0
Egenhoven (Leuven),750000.0,5.0,429.0,1369.0,0,0,0,0,1,0,0,0,0,0,1
HASTIÈRE,56000.0,2.0,58.0,0.0,0,1,0,0,0,1,1,0,1,0,0
Nassogne,229000.0,2.0,236.0,500.0,0,1,0,0,0,0,0,0,0,0,0
De Haan,349500.0,3.0,120.0,481.0,0,0,0,0,1,1,0,1,1,0,0
Ninove,409000.0,3.0,175.0,293.0,0,1,0,0,0,1,0,1,1,0,0
Marche-en-Famenne,295000.0,4.0,187.0,756.0,0,0,0,0,1,0,0,0,0,0,1
Huy,260000.0,5.0,220.0,292.0,0,1,0,0,0,1,0,1,1,0,1
Bolinne,252000.0,3.0,145.0,394.0,0,1,0,0,0,0,0,1,0,0,1
Oostduinkerke,235000.0,3.0,65.0,240.0,0,1,0,0,0,0,0,0,0,0,1
Herseaux,279000.0,2.0,164.0,800.0,0,0,0,0,1,1,0,1,1,0,0
Onhaye,450000.0,4.0,300.0,1578.0,0,0,0,1,0,0,0,0,0,0,0
Forest,749000.0,6.0,190.0,80.0,0,1,0,0,0,1,0,1,0,0,0
Zelzate,499500.0,4.0,240.0,752.0,0,0,0,0,1,0,1,1,1,0,0
Yvoir,720000.0,5.0,280.0,2580.0,0,1,0,0,0,1,0,1,1,1,0
Thon,199500.0,2.0,132.0,1270.0,0,1,0,0,0,1,0,1,1,0,0
Alsemberg,435000.0,2.0,100.0,623.0,0,1,0,0,0,0,0,1,0,0,1
Landorp,434000.0,3.0,177.0,525.0,0,0,0,0,1,1,0,0,0,0,0
Lille,79000.0,1.0,60.0,300.0,0,1,0,0,0,0,0,1,0,0,1
Turnhout,465000.0,3.0,280.0,0.0,0,0,0,1,0,1,0,1,0,0,0
Gerpinnes,275000.0,3.0,187.0,1370.0,0,0,0,0,1,0,0,0,1,0,0
Dendermonde,258500.0,3.0,165.0,329.0,0,1,0,0,0,0,0,0,0,0,0
Olen,548000.0,4.0,323.0,947.0,0,0,0,0,1,1,0,1,0,0,0
Jalhay,349000.0,4.0,144.0,1037.0,0,1,0,0,0,0,0,1,0,0,1
Laneffe,173000.0,3.0,140.0,561.0,0,1,0,0,0,1,0,0,1,0,0
CHATELINEAU,149999.0,3.0,156.0,230.0,0,1,0,0,0,1,0,1,0,0,1
Anderlues,189999.0,3.0,143.0,650.0,0,1,0,0,0,1,0,1,1,0,0
CHATELET,184999.0,3.0,200.0,118.0,0,1,0,0,0,1,0,0,0,0,0
Charleroi Gosselies,95000.0,3.0,85.0,70.0,0,1,0,0,0,0,0,1,0,0,1
Mons Jemappes,125000.0,5.0,183.0,0.0,0,1,0,0,0,0,0,1,0,0,1
Ixelles,1450000.0,5.0,256.0,206.0,0,1,0,0,0,1,0,1,1,0,1
Putte,475000.0,3.0,158.0,1392.0,0,1,0,0,0,1,0,1,0,0,0
Londerzeel,415000.0,4.0,170.0,779.0,0,1,0,0,0,0,0,1,0,0,0
Buggenhout,245000.0,3.0,136.0,105.0,0,1,0,0,0,0,0,1,0,0,0
Vilvoorde,370000.0,7.0,210.0,1.0,0,1,0,0,0,1,0,1,0,0,0
Boussu,129000.0,1.0,74.0,82.0,0,1,0,0,0,1,0,0,1,0,0
Grez-Doiceau,360000.0,3.0,140.0,559.0,0,1,0,0,0,0,0,1,0,0,0
Charleroi,356000.0,5.0,448.0,0.0,0,1,0,0,0,1,0,1,0,0,1
Charleroi,356000.0,7.0,448.0,0.0,0,0,0,1,0,1,0,1,0,0,1
Beersel,395000.0,4.0,165.0,0.0,0,1,0,0,0,1,0,1,0,0,0
LIEGE,330000.0,3.0,167.0,118.0,0,1,0,0,0,1,0,1,0,0,0
Aarschot,349000.0,4.0,220.0,270.0,0,1,0,0,0,1,0,1,0,0,0
Spiere-Helkijn,169000.0,3.0,190.0,0.0,0,1,0,0,0,0,0,1,1,0,0
Wezemaal,395000.0,4.0,200.0,1000.0,0,1,0,0,0,0,0,1,0,0,0
Brugge Assebroek,187000.0,2.0,110.0,140.0,0,1,0,0,0,0,0,1,0,0,1
Halle Buizingen,425000.0,5.0,250.0,631.0,0,1,0,0,0,1,0,1,0,0,0
Balen,410000.0,5.0,230.0,449.0,0,1,0,0,0,1,0,1,0,0,0
Villerot,275000.0,2.0,135.0,994.0,0,1,0,0,0,0,0,1,1,0,0
Charleroi,220000.0,3.0,195.0,100.0,0,1,0,0,0,1,0,1,0,0,1
Charleroi,89900.0,2.0,90.0,139.0,0,1,0,0,0,1,0,0,1,0,1
Charleroi Couillet,179000.0,5.0,180.0,0.0,0,1,0,0,0,0,0,1,0,0,0
Libramont-Chevigny,215000.0,5.0,256.0,1040.0,0,1,0,0,0,1,0,1,1,0,1
Libramont-Chevigny,330000.0,5.0,200.0,820.0,0,1,0,0,0,0,0,1,1,0,1
Lubbeek Binkom,323150.0,3.0,161.0,547.0,0,1,0,0,0,1,0,1,1,0,0
Bruxelles,369000.0,3.0,150.0,150.0,0,1,0,0,0,0,0,1,0,0,0
Boirs,370000.0,3.0,169.0,1000.0,0,0,0,0,1,1,0,1,1,1,0
Oosterzele,362500.0,2.0,136.0,0.0,0,1,0,0,0,1,0,1,1,0,0
Pipaix,229000.0,3.0,132.0,200.0,0,1,0,0,0,1,0,1,0,0,0
Frasnes-lez-Anvaing,359000.0,3.0,146.0,840.0,0,0,0,0,1,1,0,1,0,0,0
Gaurain-Ramecroix,129000.0,2.0,177.0,570.0,0,1,0,0,0,1,0,1,1,0,1
Bazel,375000.0,3.0,140.0,243.0,0,1,0,0,0,0,0,1,1,0,0
Maasmechelen,259500.0,3.0,157.0,602.0,0,1,0,0,0,1,0,1,0,0,1
Vilvoorde,389000.0,3.0,206.0,152.0,0,1,0,0,0,1,0,1,1,0,0
PUURS,378000.0,3.0,173.0,129.0,0,1,0,0,0,1,0,1,0,0,0
Aalst,349000.0,3.0,166.0,433.0,0,1,0,0,0,1,0,1,0,0,0
Schoten,395000.0,5.0,219.0,130.0,0,1,0,0,0,1,0,1,0,0,0
Charleroi Gilly,129000.0,2.0,115.0,180.0,0,1,0,0,0,0,0,1,1,0,1
Welkenraedt,283000.0,3.0,141.0,189.0,0,1,0,0,0,1,0,1,0,0,0
Warneton,284000.0,3.0,167.0,253.0,0,1,0,0,0,1,0,1,1,0,0
Saint-Georges-sur-Meuse,159169.0,1.0,80.0,288.0,0,1,0,0,0,1,0,0,1,0,0
Saint-Georges-sur-Meuse,235000.0,3.0,145.0,368.0,0,1,0,0,0,1,0,0,1,0,0
Saint-Georges-sur-Meuse,165239.0,2.0,107.0,331.0,0,1,0,0,0,0,0,1,1,0,0
Antwerp,239000.0,8.0,230.0,98.0,0,1,0,0,0,0,0,1,0,0,1
Liège Angleur,99000.0,2.0,68.0,155.0,0,1,0,0,0,1,0,0,0,0,1
Herk-de-Stad,295000.0,3.0,140.0,664.0,0,1,0,0,0,1,0,1,0,0,0
Aalst Erembodegem,259000.0,2.0,140.0,142.0,0,1,0,0,0,1,0,1,1,0,0
Aalst,145000.0,2.0,140.0,100.0,0,1,0,0,0,1,0,1,0,0,0
Aalst,325000.0,3.0,230.0,121.0,0,0,0,1,0,0,0,1,0,0,1
Dilbeek,365000.0,3.0,140.0,165.0,0,1,0,0,0,1,0,1,1,0,0
Gooik,399000.0,3.0,196.0,321.0,0,1,0,0,0,1,0,1,0,0,1
Geel,319000.0,5.0,277.0,600.0,0,1,0,0,0,0,0,0,0,0,1
Charleroi Marcinelle,160000.0,3.0,120.0,92.0,0,1,0,0,0,1,0,1,0,0,0
Herentals Morkhoven,340000.0,3.0,140.0,305.0,0,1,0,0,0,1,0,1,0,0,0
Woluwe-Saint-Lambert,545000.0,3.0,165.0,121.0,0,1,0,0,0,1,0,1,1,0,0
Heusden-Zolder Zolder,274000.0,2.0,146.0,1162.0,0,1,0,0,0,1,0,1,0,0,0
Gent,485000.0,3.0,136.0,94.0,0,1,0,0,0,1,0,1,0,0,0
Denderleeuw,350000.0,5.0,273.0,502.0,0,1,0,0,0,1,1,1,1,0,1
Brugge,469000.0,3.0,192.0,599.0,0,0,0,0,1,1,0,1,0,0,0
Herzele,298500.0,3.0,108.0,599.0,0,1,0,0,0,0,0,1,0,0,0
Liège Jupillesur-Meuse,249000.0,4.0,135.0,294.0,0,1,0,0,0,0,0,1,1,0,0
Vosselaar,365000.0,5.0,213.0,921.0,0,1,0,0,0,0,0,1,0,0,1
Borgloon,269000.0,3.0,169.0,679.0,0,1,0,0,0,0,0,0,0,0,1
Vilvoorde,339000.0,3.0,166.0,124.0,0,1,0,0,0,0,0,0,1,0,1
Liège Grivegnée,115000.0,3.0,110.0,45.0,0,1,0,0,0,1,0,0,0,0,1
Ravels,366000.0,3.0,225.0,692.0,0,1,0,0,0,1,0,1,0,0,1
Dilbeek,475000.0,3.0,180.0,521.0,0,1,0,0,0,1,1,1,1,0,0
Drogenbos,365000.0,3.0,132.0,105.0,0,1,0,0,0,1,0,0,1,0,0
Wépion,350000.0,2.0,100.0,9.0,0,1,0,0,0,1,0,1,1,0,0
Tienen,209000.0,1.0,75.0,80.0,0,1,0,0,0,1,0,1,0,0,0
Antwerpen,355000.0,2.0,165.0,55.0,0,1,0,0,0,1,0,1,0,0,0
Balen,215000.0,2.0,118.0,1040.0,0,1,0,0,0,0,0,0,1,0,1
Zwevegem,330000.0,3.0,137.0,661.0,0,1,0,0,0,1,0,1,0,0,0
Tervuren,765000.0,3.0,200.0,1406.0,0,0,0,0,1,1,1,1,1,0,0
Leffinge,650000.0,3.0,230.0,566.0,0,0,0,0,1,0,0,1,0,0,1
Oordegem,365000.0,3.0,142.0,250.0,0,1,0,0,0,1,0,1,0,0,1
Oordegem,420000.0,3.0,160.0,361.0,0,1,0,0,0,1,0,1,1,0,1
Scherpenheuvel-Zichem,315000.0,3.0,162.0,205.0,0,1,0,0,0,1,0,1,1,0,1
Hamme,775000.0,4.0,363.0,686.0,0,0,1,0,0,1,1,0,1,0,0
Ingelmunster,235000.0,2.0,90.0,380.0,0,1,0,0,0,1,0,1,1,0,0
Ronse,152000.0,2.0,95.0,98.0,0,1,0,0,0,0,0,0,0,0,1
Nieuwpoort,595000.0,3.0,231.0,0.0,0,1,0,0,0,0,0,1,1,0,0
Brakel,299000.0,4.0,230.0,1200.0,0,1,0,0,0,0,0,0,0,0,1
Torhout,360000.0,4.0,144.0,255.0,0,1,0,0,0,0,0,0,1,0,1
Oostakker,419000.0,4.0,187.0,408.0,0,1,0,0,0,0,0,0,0,0,0
Gentbrugge,447000.0,3.0,165.0,342.0,0,1,0,0,0,0,0,1,1,0,0
Gent,1550000.0,9.0,389.0,141.0,0,1,0,0,0,0,0,1,0,0,0
Izegem,259000.0,3.0,195.0,281.0,0,1,0,0,0,1,0,0,1,0,1
Sint-Gillis-Dendermonde,225000.0,3.0,185.0,427.0,0,1,0,0,0,1,0,0,1,0,1
Kortrijk,199000.0,4.0,133.0,150.0,0,1,0,0,0,1,0,0,1,0,0
Dendermonde,399000.0,3.0,185.0,211.0,0,1,0,0,0,0,0,0,0,0,0
Brussels City,725000.0,3.0,265.0,1.0,0,0,0,1,0,0,0,0,0,0,0
Diksmuide,220000.0,4.0,180.0,215.0,0,1,0,0,0,1,0,0,1,0,1
Diksmuide,270000.0,3.0,176.0,155.0,0,1,0,0,0,0,0,1,0,0,1
Ieper,175000.0,3.0,389.0,265.0,0,0,0,1,0,0,0,0,0,0,1
Brugge,250000.0,3.0,140.0,108.0,0,1,0,0,0,0,0,0,0,0,1
Rekkem,159000.0,2.0,110.0,430.0,0,1,0,0,0,1,0,1,1,0,1
Moorsele,339000.0,3.0,260.0,1325.0,0,1,0,0,0,0,0,0,1,0,1
Lembeek,485000.0,4.0,202.0,451.0,0,1,0,0,0,0,0,0,1,0,0
Bilzen,449000.0,4.0,320.0,864.0,0,1,0,0,0,1,0,0,1,0,1
Riemst,239918.0,3.0,126.0,327.0,0,1,0,0,0,0,0,0,0,0,0
Waasmunster,255000.0,3.0,104.0,405.0,0,1,0,0,0,0,0,0,0,0,1
Berendrecht,449500.0,3.0,163.0,556.0,0,1,0,0,0,1,0,0,1,0,0
Wervik,249000.0,5.0,266.0,255.0,0,1,0,0,0,0,1,0,0,0,0
Tervuren,749000.0,5.0,286.0,984.0,0,0,0,0,1,1,1,0,1,0,1
Kuurne,180000.0,2.0,95.0,0.0,0,1,0,0,0,0,0,0,1,0,0
Zwalm,408500.0,3.0,171.0,464.0,0,1,0,0,0,1,0,1,0,0,0
Moerbeke,279000.0,3.0,208.0,355.0,0,1,0,0,0,1,0,1,1,0,0
Knokke,695000.0,3.0,150.0,117.0,0,1,0,0,0,1,0,1,0,0,0
Gent,199000.0,2.0,70.0,40.0,0,1,0,0,0,1,0,1,1,0,1
Laarne,495000.0,3.0,190.0,770.0,0,1,0,0,0,0,0,0,1,0,0
Lier,475000.0,3.0,180.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Lier,233000.0,3.0,162.0,326.0,0,1,0,0,0,0,0,0,0,0,1
Kessel,244000.0,4.0,148.0,315.0,0,1,0,0,0,0,0,0,0,0,1
Mechelen,250000.0,2.0,93.0,54.0,0,1,0,0,0,1,0,1,0,0,0
Herk-de-Stad,550000.0,3.0,168.0,3073.0,0,1,0,0,0,0,0,1,0,0,0
Dendermonde,425000.0,4.0,175.0,665.0,0,1,0,0,0,0,0,0,1,0,0
Appelterre-Eichem,280000.0,3.0,355.0,330.0,0,0,0,1,0,1,0,0,0,0,1
Denderleeuw,205000.0,3.0,180.0,294.0,0,1,0,0,0,1,0,0,1,0,1
Spa,245000.0,6.0,240.0,266.0,0,0,1,0,0,1,0,1,1,0,1
Neerharen,565000.0,3.0,248.0,833.0,0,0,0,0,1,1,0,0,1,0,0
Ronse,247500.0,4.0,153.0,210.0,0,1,0,0,0,0,0,1,1,0,0
Brakel,329000.0,3.0,118.0,530.0,0,1,0,0,0,0,0,1,1,0,0
Zottegem,299000.0,3.0,180.0,626.0,0,1,0,0,0,0,0,1,1,0,1
Honnelles,340000.0,3.0,160.0,0.0,0,0,0,0,1,0,0,1,1,0,0
Gent,379000.0,3.0,112.0,112.0,0,1,0,0,0,0,0,1,0,0,1
Gentbrugge,388000.0,3.0,144.0,130.0,0,1,0,0,0,0,0,0,1,0,1
Fosses-la-Ville,125000.0,3.0,90.0,198.0,0,1,0,0,0,1,0,1,1,0,0
Fosses-la-Ville,130000.0,2.0,85.0,256.0,0,1,0,0,0,0,0,0,1,0,1
Meerhout,199000.0,2.0,125.0,710.0,0,1,0,0,0,1,0,0,1,0,1
De Haan,299000.0,3.0,80.0,721.0,0,1,0,0,0,0,0,0,1,0,0
Grembergen,347000.0,4.0,180.0,570.0,0,1,0,0,0,0,0,1,1,0,0
Oostende,335000.0,3.0,273.0,269.0,0,1,0,0,0,0,0,0,0,0,1
Courcelles,130000.0,2.0,100.0,100.0,0,1,0,0,0,0,0,0,0,0,1
Sint-Denijs-Westrem,478000.0,4.0,207.0,0.0,0,1,0,0,0,1,0,0,1,0,0
Harelbeke,119500.0,3.0,100.0,163.0,0,1,0,0,0,0,0,0,0,0,1
Manage,165000.0,2.0,80.0,371.0,0,1,0,0,0,0,0,1,1,0,0
Bornem,315000.0,3.0,349.0,192.0,0,1,0,0,0,0,0,1,1,0,0
WÉPION,189000.0,3.0,120.0,126.0,0,1,0,0,0,0,1,0,1,0,1
Lustin,190000.0,2.0,67.0,600.0,0,1,0,0,0,0,0,1,1,0,0
Crupet,485000.0,4.0,240.0,1014.0,0,1,0,0,0,1,1,0,0,0,0
Ekeren,424000.0,5.0,255.0,0.0,0,1,0,0,0,0,0,0,1,0,0
Berchem,279000.0,4.0,141.0,176.0,0,1,0,0,0,0,0,0,1,0,1
NOORDERWIJK,285000.0,3.0,214.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Berlare,414000.0,3.0,300.0,525.0,0,1,0,0,0,1,1,1,1,0,0
Melle,549000.0,5.0,259.0,334.0,0,1,0,0,0,1,0,0,1,0,1
SINT-AMANDSBERG,795000.0,4.0,332.0,0.0,0,1,0,0,0,1,0,0,0,0,1
Bredene,248000.0,3.0,151.0,101.0,0,1,0,0,0,1,0,0,1,0,0
Waregem,445000.0,4.0,174.0,463.0,0,1,0,0,0,1,0,0,1,0,0
Assenede,270000.0,2.0,135.0,220.0,0,1,0,0,0,0,0,0,0,0,1
Beringen,239000.0,2.0,193.0,108.0,0,1,0,0,0,1,0,1,1,0,0
Lochristi,349000.0,2.0,147.0,69.0,0,1,0,0,0,1,0,1,1,0,0
Bassevelde,365000.0,3.0,168.0,753.0,0,0,0,0,1,0,0,1,0,0,1
Oud-Turnhout,1495000.0,5.0,585.0,2042.0,0,0,0,0,1,1,0,0,1,1,0
Gent,299000.0,4.0,132.0,61.0,0,1,0,0,0,0,0,0,0,0,0
Hamme,189000.0,4.0,230.0,150.0,0,1,0,0,0,0,0,0,1,0,1
Wervik,215000.0,3.0,139.0,300.0,0,1,0,0,0,0,0,0,1,0,1
VRASENE,210000.0,2.0,90.0,245.0,0,1,0,0,0,0,0,1,0,0,1
Sterrebeek,1175000.0,5.0,480.0,0.0,0,0,0,0,1,0,0,0,1,0,1
Izegem,270000.0,5.0,174.0,145.0,0,1,0,0,0,1,0,0,0,0,0
Roeselare,279000.0,3.0,148.0,173.0,0,1,0,0,0,0,0,0,1,0,0
Halle,599000.0,3.0,118.0,1820.0,0,1,0,0,0,0,0,0,0,0,1
Halle,295000.0,3.0,148.0,468.0,0,1,0,0,0,0,0,0,0,0,1
KALLO,650000.0,5.0,347.0,606.0,0,1,0,0,0,1,0,1,1,0,0
Oelegem,745000.0,5.0,266.0,1035.0,0,0,0,0,1,1,0,1,1,1,0
Binche,95000.0,2.0,97.0,150.0,0,1,0,0,0,0,0,0,0,0,1
Mouscron,199000.0,4.0,140.0,0.0,0,1,0,0,0,1,0,0,0,0,0
Strée,239000.0,3.0,162.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Wetteren,399999.0,3.0,166.0,260.0,0,1,0,0,0,1,1,1,0,0,0
Seraing,590000.0,4.0,350.0,2684.0,0,1,0,0,0,0,1,1,1,0,1
Durbuy,199000.0,2.0,65.0,965.0,0,1,0,0,0,1,0,0,1,0,0
SOY,259000.0,3.0,65.0,884.0,0,1,0,0,0,1,0,1,1,0,0
Edegem,569000.0,4.0,220.0,289.0,0,1,0,0,0,0,1,1,1,0,0
Denderhoutem,945000.0,4.0,450.0,3073.0,0,0,0,0,1,1,0,1,1,0,0
Zaventem,315000.0,3.0,192.0,192.0,0,1,0,0,0,1,0,1,1,0,1
Mol,255000.0,3.0,176.0,165.0,0,1,0,0,0,1,0,0,1,0,1
Deurne,385000.0,4.0,172.0,110.0,0,1,0,0,0,0,0,0,0,0,0
Deurne,385000.0,4.0,172.0,110.0,0,0,1,0,0,0,0,0,0,0,0
Somzee,225000.0,3.0,190.0,419.0,0,1,0,0,0,1,0,1,0,0,1
Châtelet,85000.0,2.0,78.0,21.0,0,1,0,0,0,0,0,0,0,0,1
Evergem,179000.0,2.0,95.0,150.0,0,1,0,0,0,0,0,1,0,0,1
Lessines,300000.0,3.0,185.0,790.0,0,1,0,0,0,0,0,1,1,0,0
Tubize,360000.0,3.0,138.0,223.0,0,1,0,0,0,1,0,0,0,0,1
Graide,100000.0,4.0,140.0,692.0,0,1,0,0,0,1,0,0,1,0,1
Wingene,320000.0,3.0,127.0,340.0,0,1,0,0,0,1,0,0,1,0,0
Schoten,439000.0,3.0,231.0,122.0,0,1,0,0,0,1,1,0,1,0,0
Jette,1185000.0,4.0,450.0,320.0,0,0,1,0,0,1,1,0,0,0,1
Oostende,287500.0,2.0,151.0,205.0,0,1,0,0,0,0,0,0,0,0,0
Roeselare,212000.0,3.0,155.0,125.0,0,1,0,0,0,0,0,1,0,0,1
Glons,179000.0,3.0,153.0,0.0,1,0,0,0,0,0,1,0,0,0,0
Gaurain-Ramecroix,360000.0,3.0,190.0,1017.0,0,1,0,0,0,1,0,0,0,0,1
Hooglede,395000.0,3.0,145.0,1213.0,0,1,0,0,0,1,0,1,1,0,0
Geraardsbergen,299000.0,3.0,190.0,331.0,0,1,0,0,0,1,0,1,1,0,0
Lincent,300000.0,2.0,130.0,716.0,0,1,0,0,0,0,0,1,1,0,1
Lincent,300000.0,6.0,240.0,716.0,0,0,0,0,1,0,0,1,1,0,1
Antwerpen Merksem,399000.0,4.0,218.0,180.0,0,1,0,0,0,1,0,1,0,0,1
Estinnes-au-Val,230000.0,3.0,171.0,1010.0,0,0,0,0,1,0,0,1,0,0,1
Liège Angleur,539000.0,4.0,480.0,1661.0,0,1,0,0,0,0,0,0,0,0,1
Dour Wihéries,135000.0,3.0,160.0,150.0,0,1,0,0,0,0,0,1,0,0,1
Herentals,324890.0,3.0,222.0,572.0,0,1,0,0,0,1,0,1,0,0,0
Fosses-la-Ville,170000.0,5.0,250.0,518.0,0,1,0,0,0,0,0,0,0,0,1
Hannut Merdorp,190000.0,3.0,162.0,1192.0,0,1,0,0,0,1,0,1,1,0,1
Kampenhout,550000.0,3.0,232.0,379.0,0,1,0,0,0,0,0,1,1,0,0
Malle,575000.0,5.0,308.0,1675.0,0,0,0,0,1,1,0,1,1,0,0
Stabroek,449000.0,4.0,174.0,215.0,0,1,0,0,0,1,0,1,1,0,0
Veldegem,285000.0,3.0,197.0,630.0,0,1,0,0,0,1,1,1,1,0,0
Meulebeke,325000.0,3.0,161.0,281.0,0,1,0,0,0,0,0,0,0,0,0
Alveringem,365000.0,3.0,207.0,222.0,0,1,0,0,0,0,0,1,0,0,0
Mons,215000.0,6.0,150.0,232.0,0,1,0,0,0,1,0,0,1,0,1
Mons,200000.0,6.0,180.0,69.0,0,1,0,0,0,1,0,0,1,0,1
Izegem,345000.0,3.0,174.0,207.0,0,1,0,0,0,1,0,1,1,0,0
Aalst - Baardegem,400000.0,3.0,203.0,171.0,0,1,0,0,0,0,0,1,1,0,1
Gosselies,370000.0,5.0,328.0,2361.0,0,1,0,0,0,1,0,0,0,0,0
Beerse,360000.0,4.0,177.0,429.0,0,1,0,0,0,1,0,1,1,0,1
Turnhout,299000.0,4.0,178.0,233.0,0,1,0,0,0,1,0,0,1,0,0
Lier,269000.0,2.0,141.0,110.0,0,1,0,0,0,1,0,0,1,0,0
Lier,177000.0,2.0,92.0,141.0,0,1,0,0,0,0,0,0,1,0,1
Maffle,650000.0,1.0,350.0,2560.0,0,0,0,0,1,1,0,1,0,0,0
Ranst,259000.0,2.0,130.0,98.0,0,1,0,0,0,1,0,1,0,0,0
Bissegem,269000.0,3.0,126.0,465.0,0,1,0,0,0,0,0,0,0,0,0
Oudenburg,388000.0,3.0,159.0,406.0,0,1,0,0,0,1,0,0,0,0,0
Oudenburg,392000.0,3.0,166.0,369.0,0,1,0,0,0,1,0,0,0,0,0
Colfontaine,285000.0,8.0,485.0,2110.0,0,1,0,0,0,1,0,0,0,0,0
Nivelles,320000.0,3.0,110.0,80.0,0,1,0,0,0,1,0,0,1,0,1
Nivelles,220000.0,3.0,110.0,80.0,0,1,0,0,0,1,0,0,0,0,1
Baulers,220000.0,3.0,110.0,80.0,0,1,0,0,0,1,0,0,0,0,1
Baulers,320000.0,3.0,110.0,80.0,0,1,0,0,0,1,0,0,1,0,1
Kortenberg,369000.0,3.0,165.0,205.0,0,1,0,0,0,0,0,1,1,0,0
Assenede,435000.0,3.0,173.0,689.0,0,1,0,0,0,1,0,1,1,0,0
Zwevezele,270000.0,4.0,200.0,464.0,0,1,0,0,0,0,0,0,0,0,0
Liege,220000.0,4.0,150.0,79.0,0,1,0,0,0,1,0,1,0,0,0
Denderbelle,569000.0,3.0,255.0,1300.0,0,0,0,0,1,1,1,0,1,0,0
Gembloux,399000.0,3.0,140.0,3533.0,0,1,0,0,0,0,1,1,1,0,1
Heure (Nam.),175000.0,3.0,104.0,1137.0,0,1,0,0,0,1,0,1,0,0,1
Tourinnes-Saint-Lambert,395000.0,4.0,138.0,716.0,0,1,0,0,0,1,0,1,1,0,1
Lives-sur-Meuse,495000.0,4.0,192.0,2136.0,0,1,0,0,0,0,0,1,1,1,1
Faulx-les-Tombes,365000.0,3.0,181.0,658.0,0,1,0,0,0,1,0,0,0,0,1
Wépion,730000.0,7.0,505.0,950.0,0,1,0,0,0,0,0,0,0,0,1
Furfooz,180000.0,4.0,166.0,370.0,0,1,0,0,0,1,0,1,1,0,1
Wépion,535000.0,2.0,370.0,850.0,0,1,0,0,0,0,0,0,0,0,1
Wépion,195000.0,4.0,135.0,100.0,0,1,0,0,0,0,0,0,0,0,1
Hastière,135000.0,2.0,160.0,300.0,0,1,0,0,0,0,0,1,0,0,1
Philippeville,135000.0,3.0,160.0,300.0,0,1,0,0,0,0,0,1,1,0,1
Doische,145000.0,2.0,160.0,512.0,0,1,0,0,0,0,0,1,1,0,1
Doische,135000.0,2.0,160.0,300.0,0,1,0,0,0,0,0,1,1,0,1
Doische,145000.0,2.0,160.0,529.0,0,1,0,0,0,0,0,1,1,0,1
Fosses-la-Ville,250000.0,3.0,120.0,500.0,0,1,0,0,0,1,0,0,0,0,1
Bouffioulx,79000.0,5.0,200.0,100.0,0,1,0,0,0,0,0,0,1,0,1
Oostduinkerke,165000.0,2.0,40.0,115.0,0,1,0,0,0,0,0,0,0,0,1
Malines,512000.0,3.0,205.0,251.0,0,1,0,0,0,1,0,1,1,0,0
Beersel,260000.0,2.0,95.0,175.0,0,1,0,0,0,1,0,1,1,0,0
Putte,398000.0,4.0,191.0,679.0,0,1,0,0,0,0,1,1,1,0,0
CHÊNÉE,208000.0,4.0,130.0,341.0,0,1,0,0,0,0,0,0,1,0,1
Hotton,345000.0,4.0,170.0,1100.0,0,1,0,0,0,1,0,0,1,0,1
Sint-Niklaas,339000.0,3.0,155.0,235.0,0,1,0,0,0,1,0,1,0,0,0
Antwerpen 1,450000.0,4.0,160.0,113.0,0,1,0,0,0,0,0,0,1,0,1
ESTINNES-AU-VAL,195000.0,3.0,130.0,430.0,0,1,0,0,0,1,0,1,0,0,1
Ottignies,275000.0,4.0,90.0,200.0,0,1,0,0,0,1,0,1,1,0,1
Ottignies,350000.0,3.0,200.0,1300.0,0,1,0,0,0,1,1,1,1,0,1
Veurne,172500.0,2.0,150.0,82.0,0,1,0,0,0,0,0,0,0,0,1
Ronse,249500.0,3.0,120.0,559.0,0,1,0,0,0,0,0,0,0,0,0
Ixelles,570000.0,5.0,185.0,60.0,0,1,0,0,0,0,0,1,0,0,1
Kortrijk,353000.0,3.0,165.0,200.0,0,1,0,0,0,1,0,1,1,0,0
SINT-NIKLAAS,375000.0,3.0,177.0,0.0,0,1,0,0,0,0,0,1,0,0,0
Diest,395000.0,2.0,170.0,270.0,0,1,0,0,0,1,0,1,1,0,0
Aartselaar,345000.0,3.0,180.0,332.0,0,1,0,0,0,0,0,1,1,0,1
Leuven,545000.0,5.0,232.0,269.0,0,1,0,0,0,1,0,1,1,0,0
