Location,Price,Number of bedrooms,Living area,Surface area land,Property subtype_FARMHOUSE,Property subtype_HOUSE,Property subtype_MANSION,Property subtype_MIXED_USE_BUILDING,Property subtype_VILLA,Kitchen equipped,Open fireplace,Terrace,Garden,Pool,Condition
Mechelen-Bovelingen,292000.0,3.0,160.0,216.0,0,1,0,0,0,1,0,1,0,0,0
Antwerp,639000.0,5.0,276.0,87.0,0,1,0,0,0,1,0,0,0,0,0
Woluwe-Saint-Pierre,950000.0,4.0,185.0,1065.0,0,1,0,0,0,0,0,1,1,0,0
Alveringem,146000.0,2.0,93.0,572.0,0,1,0,0,0,0,0,0,0,0,1
Nivelles,260000.0,3.0,135.0,0.0,0,1,0,0,0,0,0,1,0,0,0
Morlanwelz,165000.0,3.0,120.0,355.0,0,1,0,0,0,0,1,0,0,0,1
Wezembeek-Oppem,1085000.0,3.0,150.0,100.0,0,0,0,0,1,1,0,1,1,0,0
Wezembeek-Oppem,1075000.0,5.0,290.0,435.0,0,0,0,0,1,1,0,1,1,0,0
Bredene,525000.0,3.0,182.0,411.0,0,1,0,0,0,1,0,1,0,0,0
Saint-Josse-ten-Noode,450000.0,4.0,170.0,74.0,0,1,0,0,0,1,0,1,0,0,1
Kortrijk,209000.0,3.0,171.0,183.0,0,1,0,0,0,0,0,0,0,0,1
Comblain-au-Pont,215000.0,3.0,170.0,432.0,0,1,0,0,0,0,0,0,1,0,1
Wépion,600000.0,5.0,275.0,2621.0,0,0,0,0,1,0,0,1,1,0,0
Labuissiere,155000.0,3.0,130.0,293.0,0,1,0,0,0,1,0,0,1,0,1
Mettet,250000.0,2.0,120.0,978.0,0,1,0,0,0,1,0,1,1,0,1
Welkenraedt,360000.0,4.0,260.0,1194.0,0,0,0,0,1,1,0,1,1,0,0
Nivelles,350000.0,4.0,150.0,800.0,0,0,0,0,1,1,0,1,1,1,0
NIMY,150000.0,4.0,113.0,110.0,0,1,0,0,0,1,0,0,1,0,0
Grand-Reng,75000.0,3.0,278.0,1080.0,0,1,0,0,0,1,0,0,0,0,1
Roeselare,210000.0,3.0,126.0,288.0,0,1,0,0,0,1,0,1,0,0,1
Michelbeke,156000.0,3.0,195.0,342.0,0,1,0,0,0,0,0,0,0,0,1
Essen,1695000.0,4.0,1250.0,2000.0,0,0,0,0,1,0,0,0,0,0,0
Lasne,595000.0,3.0,150.0,1500.0,0,1,0,0,0,1,0,1,0,0,1
Saint-Léger,179000.0,3.0,135.0,350.0,0,1,0,0,0,0,0,1,0,0,1
Ormeignies,120500.0,2.0,116.0,340.0,0,1,0,0,0,0,0,0,1,0,1
Bersillies-l'Abbaye,75000.0,3.0,80.0,348.0,0,1,0,0,0,0,0,0,1,0,1
Laeken,765000.0,8.0,330.0,700.0,0,0,0,0,1,1,0,1,1,0,0
Gosselies,135000.0,3.0,140.0,100.0,0,1,0,0,0,1,1,1,0,0,1
Bornem,599000.0,3.0,189.0,437.0,0,0,0,0,1,1,0,1,1,0,0
Deftinge,279000.0,4.0,165.0,1475.0,0,1,0,0,0,1,0,1,1,0,1
Varsenare,349000.0,2.0,246.0,1110.0,0,1,0,0,0,1,0,1,1,0,1
Marchin,295000.0,6.0,368.0,1655.0,0,1,0,0,0,1,0,1,1,0,0
Zoersel,569000.0,4.0,190.0,1324.0,0,0,0,0,1,1,0,1,1,0,0
Roeselare,165000.0,4.0,181.0,166.0,0,1,0,0,0,0,0,1,1,0,1
Tielt,530000.0,4.0,258.0,705.0,0,0,0,0,1,1,1,1,0,0,0
WIDEUMONT VILLAGE,370000.0,7.0,175.0,800.0,0,1,0,0,0,0,0,0,1,0,1
Wavre,230000.0,4.0,244.0,300.0,0,1,0,0,0,0,0,1,1,0,1
FONTAINE-L'EVÊQUE,120000.0,5.0,210.0,160.0,0,1,0,0,0,0,0,0,0,0,1
Dinant,299000.0,4.0,310.0,120.0,0,1,0,0,0,1,0,0,0,0,0
LISOGNE (DINANT),349000.0,4.0,170.0,1120.0,0,1,0,0,0,1,1,1,0,0,0
Meix-devant-Virton,215000.0,3.0,120.0,850.0,0,1,0,0,0,0,0,0,0,0,0
Lauwe,295000.0,3.0,145.0,540.0,0,0,0,0,1,1,0,1,1,0,0
Bergilers,420000.0,3.0,227.0,509.0,0,1,0,0,0,1,1,1,1,0,0
Gent,330000.0,4.0,145.0,0.0,0,1,0,0,0,1,0,1,0,0,0
Zwalm,595000.0,5.0,234.0,1662.0,0,1,0,0,0,1,0,1,1,0,0
Colfontaine,299000.0,3.0,140.0,2000.0,0,0,0,0,1,1,0,1,1,0,0
Frameries,120000.0,2.0,78.0,180.0,0,1,0,0,0,0,0,1,0,0,0
WASMUEL,126000.0,2.0,83.0,122.0,0,1,0,0,0,1,0,0,1,0,0
Frameries,110000.0,2.0,74.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Ixelles,1550000.0,5.0,323.0,253.0,0,1,0,0,0,0,0,1,1,0,1
Waregem,390000.0,3.0,245.0,548.0,0,0,0,0,1,0,0,1,0,0,0
Frameries,110000.0,2.0,74.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Ixelles,1550000.0,5.0,323.0,253.0,0,1,0,0,0,0,0,1,1,0,1
Waregem,390000.0,3.0,245.0,548.0,0,0,0,0,1,0,0,1,0,0,0
Torhout,339000.0,3.0,114.0,192.0,0,1,0,0,0,1,0,1,1,0,0
Leuven,295000.0,4.0,154.0,378.0,0,1,0,0,0,1,0,0,0,0,1
Izegem,219000.0,4.0,160.0,251.0,0,1,0,0,0,0,0,0,0,0,0
Nazareth,250000.0,2.0,159.0,47.0,0,1,0,0,0,0,0,1,0,0,1
Verviers Stembert,285000.0,3.0,338.0,0.0,0,0,0,1,0,0,0,1,0,0,0
Flemalle,199001.0,2.0,100.0,150.0,0,1,0,0,0,0,0,1,1,0,0
Bruxelles,385000.0,3.0,140.0,130.0,0,1,0,0,0,1,0,0,0,0,0
Hainaut,210000.0,3.0,170.0,341.0,0,0,1,0,0,0,0,1,0,0,0
Boortmeerbeek,442000.0,2.0,173.0,1561.0,0,0,0,0,1,0,0,1,0,0,1
La Louviere,249000.0,9.0,640.0,0.0,0,1,0,0,0,0,0,1,0,0,1
Halle,435000.0,4.0,258.0,286.0,0,1,0,0,0,0,0,1,1,0,1
Maasmechelen,289000.0,3.0,170.0,942.0,0,1,0,0,0,0,0,0,0,0,1
Lodelinsart,144900.0,4.0,160.0,300.0,0,1,0,0,0,0,0,1,0,0,0
Fosses-la-Ville,168000.0,3.0,140.0,280.0,0,0,1,0,0,0,0,1,0,0,0
Ans Alleur,280000.0,3.0,160.0,595.0,0,1,0,0,0,1,0,1,0,0,0
Libin,269900.0,3.0,111.0,0.0,0,1,0,0,0,0,0,1,1,0,0
Molenbeek-Saint-Jean,275000.0,3.0,105.0,107.0,0,1,0,0,0,0,0,1,1,0,1
Braffe,259000.0,5.0,170.0,1087.0,0,0,0,0,1,1,0,1,1,0,0
Merksplas,285000.0,3.0,136.0,117.0,0,1,0,0,0,1,0,0,0,0,0
Lasne,895000.0,6.0,324.0,3242.0,0,1,0,0,0,1,0,1,0,0,0
Merelbeke,289000.0,3.0,160.0,110.0,0,1,0,0,0,1,0,1,0,0,0
Seraing,176000.0,2.0,80.0,105.0,0,1,0,0,0,1,0,1,1,0,0
Waremme,225000.0,3.0,141.0,510.0,0,1,0,0,0,1,0,1,1,0,0
Remicourt,189000.0,3.0,130.0,545.0,0,1,0,0,0,0,0,1,1,0,0
Grez-Doiceau,325000.0,2.0,79.0,770.0,0,1,0,0,0,1,0,1,0,0,0
Marchienne-au-Pont,495000.0,8.0,414.0,240.0,0,0,0,1,0,1,0,0,0,0,0
Quiévrain,105000.0,3.0,117.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Aartselaar,469000.0,4.0,206.0,558.0,0,1,0,0,0,1,0,1,0,0,1
Antwerp,369000.0,3.0,160.0,237.0,0,1,0,0,0,1,0,1,0,0,1
Chaudfontaine Vaux-sous-Chèvremont,295000.0,3.0,270.0,1161.0,0,1,0,0,0,0,0,0,1,0,1
Chênée,295000.0,3.0,270.0,1161.0,0,1,0,0,0,0,0,0,1,0,1
Oupeye,699000.0,6.0,377.0,4200.0,0,1,0,0,0,1,0,1,1,0,0
Asse,569000.0,3.0,382.0,605.0,0,0,0,0,1,1,0,1,1,0,0
Denderwindeke,299000.0,3.0,135.0,750.0,0,1,0,0,0,1,0,1,1,0,0
Thuin,475000.0,7.0,500.0,1730.0,0,0,1,0,0,1,0,1,1,1,0
Tournai Templeuve,1250000.0,8.0,520.0,1100.0,0,1,0,0,0,1,0,1,1,1,0
Estaimpuis,159000.0,1.0,65.0,0.0,0,1,0,0,0,1,0,0,0,0,0
Courcelles,189900.0,2.0,117.0,810.0,0,1,0,0,0,0,0,1,0,0,0
Courcelles,89900.0,3.0,109.0,850.0,0,1,0,0,0,1,0,1,1,0,1
Erquelinnes Bersilliesl'Abbaye,14900.0,2.0,32.0,200.0,0,1,0,0,0,0,0,1,1,0,0
Liege,185000.0,4.0,95.0,0.0,0,1,0,0,0,1,0,1,0,0,0
Pepinster,125000.0,4.0,135.0,0.0,0,1,0,0,0,0,0,0,0,0,1
Sint-Martens-Latem,1150000.0,3.0,370.0,910.0,0,0,0,0,1,1,0,1,1,0,0
Wépion,485000.0,5.0,280.0,1663.0,0,1,0,0,0,0,0,1,0,0,0
